,도시명,CM2018,CM2019,CM2020,CM2021,ND2018,ND2019,ND2020,ND2021,SD2018,SD2019,SD2020,SD2021
0,서울특별시,0.5083333333333333,0.5416666666666666,0.4833333333333332,0.43999999999999995,0.028249999999999997,0.02808333333333333,0.023833333333333335,0.0219,0.004416666666666667,0.004166666666666668,0.0030833333333333325,0.0030999999999999995
1,부산광역시,0.3499999999999999,0.3833333333333333,0.3833333333333333,0.31999999999999995,0.019333333333333334,0.019333333333333338,0.016166666666666666,0.014300000000000002,0.004916666666666667,0.004666666666666667,0.003500000000000001,0.003
2,대구광역시,0.4166666666666665,0.45833333333333326,0.4416666666666666,0.36999999999999994,0.0195,0.019250000000000003,0.016916666666666663,0.014299999999999997,0.0027500000000000007,0.0027500000000000007,0.002333333333333334,0.0019000000000000002
3,인천광역시,0.525,0.5416666666666666,0.49166666666666664,0.4699999999999999,0.025000000000000005,0.024250000000000004,0.020333333333333335,0.019600000000000003,0.004750000000000001,0.0048333333333333344,0.003750000000000001,0.0031999999999999993
4,광주광역시,0.5083333333333333,0.45833333333333326,0.4083333333333332,0.4699999999999999,0.017499999999999998,0.018000000000000002,0.013999999999999999,0.0124,0.002583333333333333,0.0026666666666666666,0.0027500000000000003,0.0028999999999999994
5,대전광역시,0.4333333333333332,0.4166666666666665,0.3999999999999999,0.45,0.01941666666666667,0.01941666666666667,0.01733333333333333,0.015399999999999997,0.0024166666666666672,0.0025833333333333337,0.0022500000000000007,0.0029999999999999996
6,울산광역시,0.525,0.4916666666666667,0.4749999999999999,0.41999999999999993,0.020083333333333335,0.020000000000000004,0.017750000000000002,0.016600000000000004,0.005666666666666668,0.005166666666666667,0.003916666666666668,0.0034000000000000002
7,세종특별자치시,0.55,0.525,0.48333333333333334,0.45999999999999996,0.018583333333333334,0.019333333333333334,0.017333333333333333,0.014799999999999997,0.0026666666666666666,0.00325,0.0032499999999999994,0.0033999999999999994
8,경기도,0.4749999999999999,0.49999999999999994,0.45833333333333326,0.43999999999999995,0.02466666666666667,0.024000000000000004,0.020083333333333335,0.0176,0.0038333333333333344,0.003750000000000001,0.003166666666666666,0.0030999999999999995
9,강원도,0.4416666666666666,0.4499999999999999,0.4166666666666667,0.43,0.01558333333333333,0.011666666666666667,0.01,0.008600000000000002,0.0025833333333333337,0.0025000000000000005,0.0025000000000000005,0.002300000000000001
10,충청북도,0.4833333333333332,0.45833333333333326,0.4416666666666666,0.43999999999999995,0.0205,0.018333333333333337,0.01433333333333333,0.012499999999999999,0.003583333333333334,0.0033333333333333335,0.0029999999999999996,0.0022000000000000006
11,충청남도,0.4749999999999999,0.5083333333333334,0.4333333333333333,0.41999999999999993,0.015083333333333329,0.013999999999999997,0.012749999999999997,0.0117,0.003750000000000001,0.003750000000000001,0.003333333333333334,0.0039000000000000007
12,전라북도,0.48333333333333334,0.39999999999999997,0.35833333333333334,0.32999999999999996,0.013416666666666665,0.012416666666666668,0.011000000000000001,0.01,0.003750000000000001,0.0034166666666666672,0.0029999999999999996,0.0026999999999999997
13,전라남도,0.4666666666666666,0.4833333333333334,0.425,0.41,0.013166666666666665,0.011166666666666667,0.009833333333333335,0.008700000000000001,0.004916666666666666,0.004250000000000001,0.0030833333333333333,0.0029999999999999996
14,경상북도,0.47500000000000003,0.4333333333333333,0.3916666666666666,0.41,0.01483333333333333,0.013583333333333331,0.011166666666666665,0.009700000000000002,0.0038333333333333344,0.003500000000000001,0.0034166666666666664,0.0031999999999999993
15,경상남도,0.44166666666666665,0.43333333333333335,0.40833333333333327,0.41,0.018166666666666668,0.016416666666666666,0.013999999999999997,0.012199999999999997,0.004000000000000001,0.003500000000000001,0.0029999999999999996,0.0029999999999999996
16,제주특별자치도,0.25833333333333336,0.275,0.3,0.27,0.009416666666666667,0.009166666666666668,0.007916666666666667,0.007200000000000001,0.0025833333333333333,0.0021666666666666674,0.0010833333333333337,0.0012000000000000003
