구이름,tot,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,
남구,11106,88,53,41,34,44,102,275,674,852,721,697,636,598,643,695,721,794,876,811,597,414,349,253,150,
서구,13536,85,53,41,42,67,153,399,904,1002,881,878,799,722,794,871,882,965,1099,966,680,467,376,262,159,
중구,11595,84,50,36,31,42,101,273,706,903,777,744,685,634,682,747,767,840,903,810,608,420,356,257,150,
북구,10236,80,53,42,45,68,142,321,651,732,663,651,601,550,596,636,657,725,797,724,505,361,296,216,137,
수성구,9149,63,37,28,26,41,95,254,574,703,610,576,529,499,537,583,611,678,721,636,464,321,267,195,111,
동구,8295,55,36,29,31,48,104,250,525,603,544,540,495,461,494,528,552,614,663,584,395,277,221,158,97,
달서구,8375,42,26,20,20,32,77,222,572,650,554,558,499,454,504,548,560,620,699,616,412,274,209,141,81,
달성군,4170,25,17,14,14,23,52,129,291,309,266,272,252,232,258,271,275,294,329,294,197,143,106,73,44,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
